X	Y	OBJECTID	NAME	LONGITUDE	LATITUDE
591154.3522	4783453.899	1	Ymca - Les Chater Family	-79.87804501	43.19836189
591100.7204	4789859.375	2	Main Hess Senior Centre	-79.87764733	43.25603688
580713.2938	4785188.672	3	Ancaster Aquatic Centre	-80.00628298	43.2151688
580587.1175	4785509.658	4	Ancaster Rotary Centre	-80.00778934	43.21807225
592385.4051	4790100.501	5	Beasley Community Centre	-79.86178273	43.25805134
592435.8347	4791438.36	6	Bennetto Community Centre	-79.86093697	43.27008977
572086.5743	4794366.6	7	Beverly Community Centre	-80.11127818	43.2986764
570839.0101	4794552.882	8	Beverly Township Hall	-80.12663304	43.30047207
597286.7002	4775168.615	9	Binbrook Memorial Hall	-79.80403785	43.12300553
604648.3304	4785840.702	10	H.g. Brewster Pool	-79.71154334	43.21809991
582494.9162	4805381.781	11	Carlisle Community Centre	-79.98131996	43.3967785
582485.8136	4805066.71	12	Carlisle Memorial Hall	-79.98147986	43.3939429
582497.2514	4777461.755	13	Carluke Hall	-79.98547541	43.14540748
592604.4554	4789158.452	14	Central Memorial Recreation Centre	-79.85924282	43.24954329
600848.5074	4785700.501	15	"Ada Bland ""Club 60"" Senior Citizen Centre"	-79.75834236	43.21735504
588215.2354	4790079.726	16	Dalewood Recreation Centre	-79.91315458	43.25836395
584114.4924	4790817.424	17	Dundas Community Pool	-79.96355633	43.26547443
584108.8449	4791028.905	18	Dundas Lions Memorial Community Centre	-79.9635936	43.26737906
593483.5975	4787714.351	19	Eastmount Community Centre	-79.84866004	43.23643372
605211.6043	4785897.912	20	Fruitland Lions Community Hall	-79.704599	43.21853664
594454.5379	4775908.583	21	Glanbrook Arena & Auditorium	-79.83872097	43.13002607
582085.8132	4792055.639	22	Greensville Hall	-79.98836484	43.27684613
595892.5551	4788584.101	23	Ywca - Hamilton Family - Ottawa St	-79.81884626	43.24396148
592322.0949	4786741.528	24	Hill Park Recreation Centre	-79.86312511	43.22781851
595072.3571	4785994.017	25	Huntington Park Recreation Centre	-79.82939339	43.22074723
594957.5979	4789174.076	26	Jimmy Thompson Pool	-79.83025856	43.24939123
596543.5488	4789103.468	27	East Kiwanis Boys & Girls Club	-79.81073839	43.24855415
606302.4824	4785353.359	28	Kiwanis Community Centre	-79.69127601	43.2134815
581243.9497	4785535.279	29	Ancaster Lion's Outdoor Pool	-79.99969967	43.2182325
569334.8901	4786330.426	30	Lynden Community Centre	-80.14621042	43.22657986
584353.1402	4798559.826	31	Millgrove Community Centre	-79.95942803	43.33515359
588497.1016	4779182.824	32	Mount Hope Community Hall/youth Centre	-79.91142878	43.16022469
593910.3459	4790887.661	33	Eva Rothwell Resource Centre	-79.84286449	43.26494955
587374.7685	4796131.607	34	North Wentworth Community Centre	-79.92254635	43.31294721
583137.4599	4786366.753	35	Ancaster Old Town Hall	-79.97626454	43.2255123
590721.7832	4789607.258	36	Ryerson Recreation Centre	-79.88235644	43.25381279
590050.9141	4798151.358	37	Sealey Park Scout Hall	-79.88922044	43.33081521
564831.4739	4794111.63	38	Sheffield Community Hall	-80.20074399	43.29704068
587561.8006	4787039.656	39	Sir Allan Macnab Recreation Centre	-79.92168666	43.23107007
598539.5003	4785717.948	40	Sir Wilfrid Laurier Recreation Centre	-79.78676166	43.2178171
597780.7896	4787899.809	41	Sir Winston Churchill Recreation Centre	-79.79571434	43.2375585
600819.6336	4786631.562	42	Stoney Creek Optomist Community Centre	-79.75852769	43.22574089
585126.513	4784902.367	43	Redeemer Sports Complex	-79.95200162	43.2121063
575528.3006	4781727.021	44	Ancaster Senior Achievement Centre (Asac)	-80.07058372	43.18453818
570397.7708	4803699.172	45	Valens Community Hall	-80.13089848	43.38286223
588533.006	4794893.006	46	Valley Community Centre (Nigel Charlong)	-79.90846575	43.3016607
597657.8539	4782937.978	47	Valley Park Rec Centre	-79.79810584	43.19290424
589772.7979	4798511.094	48	Waterdown Memorial Hall	-79.89259153	43.33408713
589788.3346	4786769.115	49	Westmount Recreation Centre	-79.89431613	43.22837266
610015.957	4784991.879	50	Winona Scout Hall	-79.64564257	43.2096953
609413.1034	4784876.517	51	Winona Senior Citizen Centre	-79.65308487	43.20874439
602228.425	4777858.293	52	Woodburn Centennial Hall	-79.74280634	43.14656891
591733.4239	4789677.56	53	Ymca - Hamilton Downtown Family	-79.86988423	43.25432327
577525.6686	4809482.321	54	Mountsberg Hall	-80.04209172	43.43422646
592369.4372	4786371.005	55	Sackville Hill Senior's Centre	-79.86260427	43.22447691
581396.4773	4785416.306	56	Spring Valley Community Centre	-79.99783953	43.21714491
600951.4094	4787385.957	57	Dominic Agostino Riverdale Community Centre	-79.75676735	43.23251479
588177.1432	4798512.2	58	Ymca - Flamborough Family	-79.91227132	43.33428596
591597.146	4789665.458	59	Ywca - Hamilton Family - Macnab St	-79.87156481	43.25423089
589760.2837	4789972.887	60	Soccer World	-79.89413985	43.25721965
594482.4984	4783555.986	61	Mountain Sports Complex	-79.83707187	43.19887195
605362.1073	4787292.496	62	Players Paradise Sports Complex	-79.70248013	43.23107028
599964.6587	4790657.161	63	Lakeland Centre	-79.76832328	43.26209559
600464.8603	4785725.416	64	Stoney Creek Recreation Centre	-79.76306025	43.21763051
587961.2393	4790818.364	65	David Braley Athletic Centre	-79.91616539	43.26504364
593724.1524	4790007.268	66	Norman Pinky Lewis Recreation Centre	-79.84530807	43.25704669
594979.6449	4789247.237	67	Bernie Morelli Recreation Centre	-79.82997442	43.25004711
601237.2996	4783243.121	68	F.h. Sherman Recreation And Learning Centre	-79.75400704	43.19518011
